method,total_money,bet_amount,hands_played
M,123,12,42
P,123,12,50
P,123,12,31
M,23,1,97
M,23,6,2
M,10,10,4
M,10,10,4
M,10,10,2
M,10,10,2
M,10,10,2
M,50,10,10
M,50,10,4
M,50,10,21
P,4334,1234,12
M,1234,12,248
M,500,12,116
R,500,12,130
P,500,12,194
F,500,12,109
F,5000,123,97
F,5000,123,78
R,5000,123,114
R,5000,123,106
P,5000,123,167
P,5000,123,105
M,5000,123,55
M,5000,123,59
R,50,10,16
R,50,10,10
R,50,10,16
R,50,10,24
M,50,10,12
M,50,10,9
M,50,10,5
M,50,10,17
P,50,10,8
P,50,10,12
P,50,10,12
P,50,10,5
F,50,10,15
F,50,10,4
F,50,10,16
F,50,10,10
M,1000,98,98
M,1000,98,28
M,1000,98,20
M,1000,98,17
M,1000,98,11
R,1000,98,26
R,1000,98,32
R,1000,982,4
P,1000,982,2
P,1000,982,3
F,1000,982,2
F,1000,982,2
F,1000,982,27
M,100,5,113
M,100,5,33
M,100,5,59
P,100,5,80
P,100,5,58
R,100,5,59
R,100,5,72
M,10,1,19
M,10,1,19
M,10,1,24
M,10,1,40
M,10,1,38
M,10,1,14
M,10,1,29
M,10,3,3
M,10,3,3
M,10,3,43
M,10,3,10
M,10,3,19
M,10,3,7
M,10,3,22
M,10,3,25
R,10,3,22
R,10,3,4
R,10,3,4
R,10,3,4
R,10,3,3
R,10,3,22
R,10,3,4
R,10,3,8
R,10,3,7
R,10,3,3
R,10,3,7
R,10,3,78
R,10,3,4
P,10,3,2
P,10,3,65
P,10,3,9
P,10,3,14
P,10,3,15
P,19,4,3
P,19,4,3
P,19,4,18
P,19,4,5
P,19,4,5
P,19,4,3
P,19,4,10
P,19,4,8
F,19,4,3
F,19,4,7
F,19,4,19
F,19,4,5
F,19,4,30
F,19,4,17
F,19,4,8
F,19,4,3
F,19,4,22
F,19,4,7
F,19,4,13
F,19,4,3
F,19,4,6
F,19,4,18
F,19,4,7
F,19,4,3
F,19,4,3
F,19,4,14
F,19,4,11
F,19,4,14
F,19,4,76
F,19,4,8
F,1900,400,12
F,1900,400,3
F,1900,400,7
F,1900,400,13
F,1900,400,16
F,1900,400,6
F,1900,400,10
R,1900,400,11
R,1900,400,10
R,1900,400,17
R,1900,400,5
R,1900,400,30
R,1900,400,34
R,1900,400,25
R,1900,400,31
R,1900,400,8
R,5000,170,42
R,5000,170,141
R,5000,170,69
R,5000,170,177
R,5000,170,85
M,5000,170,73
M,5000,170,120
M,5000,170,98
M,5000,170,54
M,5000,170,37
M,5000,170,73
M,5000,170,82
M,5000,170,104
F,5000,170,66
F,5000,170,71
F,5000,170,59
F,5000,170,60
F,5000,170,72
F,5000,170,59
F,5000,170,46
F,5000,170,41
F,5000,170,50
F,5000,170,56
F,5000,170,66
F,50,10,13
F,50,10,21
F,50,10,29
F,50,10,6
F,50,10,3
F,50,10,30
F,50,10,4
F,50,10,6
F,50,10,30
F,50,10,26
F,50,10,5
F,50,10,4
F,50,10,18
F,50,10,22
F,50,10,9
F,50,10,4
F,50,10,17
F,50,10,10
F,50,10,13
F,50,10,13
R,50,10,10
R,50,10,25
R,50,10,4
R,50,10,23
R,50,1,124
R,50,1,141
R,50,1,194
R,50,1,112
R,50,1,153
R,50,1,70
R,55,1,173
R,55,1,136
R,55,1,103
R,55,1,123
R,55,1,91
R,55,1,90
R,55,1,190
R,55,1,130
R,55,1,207
R,55,1,158
R,61,1,129
R,61,1,160
R,61,1,228
R,61,2,49
R,61,2,64
M,61,2,42
M,61,2,95
M,61,2,104
M,61,2,69
M,300,25,37
M,300,25,31
M,300,25,20
M,300,25,40
M,300,25,25
F,300,25,159
F,300,25,26
F,300,25,65
F,300,25,42
F,300,25,19
F,340,40,14
F,11,4,2
F,12,4,15
F,13,4,2
F,14,4,12
F,15,4,4
F,16,4,9
F,17,4,13
F,18,4,13
F,19,4,5
F,20,4,6
F,21,4,53
F,22,4,33
F,23,4,9
F,24,4,85
F,25,4,34
F,26,4,9
F,27,4,30
F,28,4,25
F,29,4,38
F,30,4,11
F,31,4,15
F,32,4,21
F,33,4,27
F,34,4,24
F,35,4,22
F,36,4,28
F,37,4,14
F,38,4,16
F,39,4,116
F,40,4,20
F,41,4,25
F,42,4,45
F,43,4,6
F,44,4,13
F,45,4,18
F,46,4,14
F,47,4,16
F,48,4,50
F,49,4,30
F,50,4,33
F,51,4,36
F,52,4,26
F,53,4,138
F,54,4,14
F,55,4,43
F,56,4,24
F,57,4,43
F,58,4,20
F,59,4,36
F,60,4,62
F,61,4,32
F,62,4,15
F,63,4,26
F,64,4,21
F,65,4,86
F,66,4,55
F,67,4,87
F,68,4,55
F,69,4,23
F,70,4,22
F,71,4,61
F,72,4,39
F,73,4,31
F,74,4,40
F,75,4,58
F,76,4,61
F,77,4,81
F,78,4,41
F,79,4,38
F,80,4,57
F,81,4,22
F,82,4,79
F,83,4,37
F,84,4,38
F,85,4,66
F,86,4,34
F,87,4,34
F,88,4,115
F,89,4,68
F,90,4,139
F,91,4,22
F,92,4,64
F,93,4,135
F,94,4,73
F,95,4,45
F,96,4,30
F,97,4,28
F,98,4,63
F,99,4,84
P,11,2,27
P,12,4,2
P,13,6,3
P,14,8,5
P,15,10,2
P,16,12,2
P,17,14,6
P,18,16,64
P,19,18,2
P,20,20,4
R,100,100,2
R,101,100,64
R,102,100,14
R,103,100,30
R,104,100,2
R,105,100,7
R,106,100,2
R,107,100,2
R,108,100,2
R,109,100,2
R,110,100,2
R,111,100,3
R,112,100,2
R,113,100,2
R,114,100,9
R,115,100,4
R,116,100,2
R,117,100,10
R,118,100,2
R,119,100,10
R,120,100,2
R,121,100,2
R,122,100,2
R,123,100,3
R,124,100,2
R,125,100,3
R,126,100,2
R,127,100,4
R,128,100,4
R,129,100,2
R,130,100,2
R,131,100,2
R,132,100,4
R,133,100,2
R,134,100,8
R,135,100,2
R,136,100,2
R,100,50,5
R,110,50,3
R,120,50,11
R,130,50,38
R,140,50,3
R,150,50,6
R,160,50,2
R,170,50,39
R,180,50,4
R,190,50,6
R,200,50,9
R,210,50,3
R,220,50,16
R,230,50,11
R,240,50,7
R,250,50,14
R,260,50,7
R,270,50,33
R,280,50,9
R,290,50,25
R,300,50,24
R,310,50,18
R,320,50,5
R,330,50,5
R,340,50,10
R,350,50,11
R,360,50,6
R,370,50,22
R,380,50,40
R,390,50,8
R,400,50,20
R,410,50,37
R,420,50,12
R,430,50,44
R,440,50,7
R,450,50,29
R,460,50,11
R,470,50,28
R,480,50,20
R,490,50,31
M,100,51,16
M,120,51,25
M,140,51,13
M,160,51,4
M,180,51,12
M,200,51,4
M,220,51,4
M,240,51,27
M,260,51,9
M,280,51,19
M,300,51,10
M,320,51,9
M,340,51,7
M,360,51,9
M,380,51,8
M,400,51,21
M,420,51,19
M,440,51,5
M,460,51,22
M,480,51,12
M,500,51,30
M,520,51,21
M,540,51,15
M,560,51,18
M,580,51,100
M,600,51,36
M,620,51,24
M,640,51,94
M,660,51,15
M,680,51,61
M,700,51,55
M,720,51,39
M,740,51,33
M,760,51,25
M,780,51,16
